지역구,지역명,주차 시작점,주차 종료점,구간길이,평일운영시작시각,평일운영종료시각,주말운영시작시각,주말운영종료시각,공휴일운영시작시각,공휴일운영종료시각,주차가능대수,관할동
인천광역시 부평구,부개동,인천광역시 부평구 인천나누리병원북측 이면도로-장제로 접속부,인천광역시 부평구 인천나누리병원 북측-부흥로359번길 접속부,,,,,,,,10,
인천광역시 부평구,청천동,인천광역시 부평구 청안로 8(청천동 인향아파트),인천광역시 부평구 평천로 51,,20:01,06:59,,,,,70,
인천광역시 부평구,부평동,인천광역시 부평구 주부토로81번길 부평래미안 남측,인천광역시 부평구 삼성공인중개사-늘봄장(아파트상가),,21:01,07:59,,,,,45,
인천광역시 부평구,부평동,인천광역시 부평구 부평대로 63번길15,인천광역시 부평구 부평대로 63번길 5,,12:00,14:00,06:00,22:00,06:00,22:00,40,
인천광역시 부평구,부평동,인천광역시 부평구 부흥북로57번길 부평고등학교 후문 앞 일면 125m(단선),인천광역시 부평구 부흥북로57번길 부평고등학교 후문 앞 일면 125m(단선),,21:01,06:59,,,,,35,
인천광역시 부평구,부개동,인천광역시 부평구 수변로37번길5-2 GS편의점 앞,인천광역시 부평구 수변로37번길 교차로 인근,,20:01,06:59,,,,,3,
인천광역시 부평구,십정동,인천광역시 부평구 경원대로1090번길 백영2차아파트 정문 주변,인천광역시 부평구 경원대로1090번길 백영2차아파트 정문 주변,,21:00,07:00,,,,,20,
인천광역시 부평구,산곡동,인천광역시 부평구 안남로222번길 경신상가삼거리,인천광역시 부평구 안남로222번길27 경남상가,,21:00,07:00,00:00,23:59,00:00,23:59,80,
인천광역시 부평구,부평동,인천광역시 부평구 대정로36번길 엡스201 남측도로 일면,인천광역시 부평구 대정로36번길 엡스201 남측도로 일면,,22:01,05:59,,,,,10,
인천광역시 부평구,산곡동,인천광역시 부평구 세월천로137번길(원적산공원),인천광역시 부평구 원적산공원 남문 ~ 원적산공원 정문,,12:00,14:00,06:00,22:00,06:00,22:00,110,
인천광역시 부평구,십정동,인천광역시 부평구 백범로584,인천광역시 부평구 열우물로161,,21:00,06:00,,,,,70,
인천광역시 부평구,부평동,인천광역시 부평구 경인로890번길 접속부 경인로894,인천광역시 부평구 경인로924,,,,,,06:00,22:00,160,
인천광역시 부평구,삼산동,인천광역시 부평구 삼산6단지 602동 맞은편,인천광역시 부평구 진산중 4거리 월드와이드교회 앞,,,,,,06:00,22:00,45,
인천광역시 부평구,갈산동,인천광역시 부평구 평천로 296(부평농협갈산지점),인천광역시 부평구 평천로 322,,21:00,06:00,,,06:00,22:00,70,
인천광역시 부평구,부평동,인천광역시 부평구 부평대로 70 씨티은행주차장앞,인천광역시 부평구 대정로 20,,,,,,06:00,22:00,35,
인천광역시 부평구,부평동,인천광역시 부평구 부흥로 290 부흥자동차공업사,인천광역시 부평구 부흥로294번길 4 추인타워,,,,,,06:00,22:00,15,
